-0.186	128
-0.158	126
-0.13	125
-0.102	124
-0.074	124
-0.046	120
-0.018	113
0.01	99.8
0.038	79.2
0.066	61.7
0.094	57.7
0.122	50.8
0.15	52.7
0.178	51.5
0.206	49.6
0.234	46.9
0.262	46.7
0.29	44.3
0.318	44.7
0.346	46.2
0.374	49.7
0.402	53.1
0.43	57
0.458	53.2
0.486	51.7
0.514	55.1
0.542	59.3
0.57	61.8
0.598	65.5
0.626	68.8
0.654	76.3
0.682	77.7
0.71	76.5
0.738	72.4
0.766	74.6
0.794	74.3
0.822	86.2
0.85	94.4
0.878	102
0.906	99.4
0.934	106
0.962	109
0.99	106
1.02	116
1.05	127
1.07	123
1.1	124
1.13	124
1.16	121
1.19	122
