-0.186	94.6
-0.158	94.8
-0.13	95.2
-0.102	96.2
-0.074	96.6
-0.046	93
-0.018	87.7
0.01	76.3
0.038	58.4
0.066	46.2
0.094	42.9
0.122	37.9
0.15	37.8
0.178	37.7
0.206	36.7
0.234	34.5
0.262	34.5
0.29	33.3
0.318	33.3
0.346	34.5
0.374	37.2
0.402	40.1
0.43	42.8
0.458	40.6
0.486	39.5
0.514	42
0.542	45.2
0.57	47.4
0.598	50
0.626	51.8
0.654	56.6
0.682	59.4
0.71	59.5
0.738	56.6
0.766	58.1
0.794	58.6
0.822	66.3
0.85	71.5
0.878	77.1
0.906	77.8
0.934	82.2
0.962	84.2
0.99	82.5
1.02	91.3
1.05	101
1.07	98.5
1.1	97.8
1.13	96.4
1.16	93.3
1.19	91.2
