-0.186	88.4
-0.158	88
-0.13	88.1
-0.102	88
-0.074	85.5
-0.046	86
-0.018	84.6
0.01	86.2
0.038	89.6
0.066	90.4
0.094	87
0.122	85
0.15	83.9
0.178	86.2
0.206	86.5
0.234	85.6
0.262	84.2
0.29	86.9
0.318	86.8
0.346	87.9
0.374	88.3
0.402	86.3
0.43	87.1
0.458	89.7
0.486	89.1
0.514	90
0.542	93.1
0.57	93.6
0.598	96.9
0.626	99.9
0.654	101
0.682	101
0.71	104
0.738	106
0.766	108
0.794	111
0.822	114
0.85	118
0.878	117
0.906	117
0.934	120
0.962	125
0.99	124
1.02	122
1.05	117
1.07	115
1.1	116
1.13	116
1.16	118
1.19	122
